#x	y	z	vx	vy	vz	mass
6.5622562	-1.3496994	0.81851209	0.49964315	0.34471751	0.065165249	0.00012911799
-1.4135005	3.6991282	0.058313704	-0.57918624	0.33143565	0.17805818	0.00012911799
-6.3716699	-2.0188755	0.33855948	0.5554199	0.045558351	0.071562593	0.00012911799
-0.66575991	3.4309343	0.27552582	-0.61300627	-0.55484463	0.26995801	0.00012911799
-5.0036003	4.2135623	-0.79793805	-0.26951828	0.15645854	-0.24457778	0.00012911799
0.16441442	2.9750867	0.15307368	-0.66464967	0.26545519	-0.036705104	0.00012911799
-2.3307533	-2.6766215	0.65459668	0.17615787	-0.4794426	0.12380916	0.00012911799
17.296256	1.6278552	-3.3264157	-0.11498719	-0.035762026	0.047022071	0.00012911799
-1.7565509	-1.2436458	-0.046671918	0.54061983	-0.58176386	-0.19505496	0.00012911799
2.4498956	3.9138092	-0.21745609	-0.2918133	-0.18329133	-0.043794955	0.00012911799
-0.63757706	-1.4064294	-0.60198328	0.70193026	-0.03461515	0.23308138	0.00012911799
-2.840306	-0.033375299	-0.46461676	-0.40341889	-0.51191819	0.22075015	0.00012911799
-4.0822932	3.5113231	-0.58027158	-0.29431242	-0.10269319	0.16936403	0.00012911799
3.7028883	2.0004533	-0.52485288	0.31459918	0.37286007	-0.13444458	0.00012911799
1.8472518	0.52557382	-0.030667686	0.69165299	-0.51169032	-0.25141985	0.00012911799
-0.70239353	0.92071202	-0.052642232	0.019989567	0.23886261	0.14784447	0.00012911799
0.2817787	-3.9927303	0.74937474	0.57505941	0.30469824	-0.34724248	0.00012911799
-0.19795012	0.91749142	0.33177446	-0.24929267	-0.18228263	0.14548482	0.00012911799
9.4989062	11.632466	-0.75826925	-0.28086674	0.012815939	-0.05000594	0.00012911799
9.6444591	8.0231777	1.4092625	-0.35057283	-0.07553752	0.036174457	0.00012911799
0.6586938	-0.94194291	-0.15081683	0.38316627	0.56328109	0.0028281782	0.00012911799
-2.3356931	-2.2497257	-0.1161578	-0.13436719	-0.64808678	0.078665183	0.00012911799
-3.1187118	-4.4856472	0.16336755	-0.019821776	-0.049889949	-0.1579861	0.00012911799
3.8755107	6.7791087	-1.1062838	0.28087549	0.14966327	-0.033715587	0.00012911799
0.49160039	-5.3760171	0.12396694	-0.016729865	0.48102658	0.0053450115	0.00012911799
-1.1574049	1.7494475	-0.1304607	0.17695547	0.27738537	0.40253015	0.00012911799
2.1342947	0.74034146	-0.6761474	0.11906668	0.30453633	-0.10644142	0.00012911799
1.8643759	4.2546201	0.25136367	-0.25646814	-0.51354774	0.30739455	0.00012911799
3.736198	3.8810469	-0.33065921	-0.02125203	0.47715824	-0.095468549	0.00012911799
-0.67306447	-4.944714	-0.61847132	0.57339827	-0.11991797	0.0066775601	0.00012911799
-5.4094507	5.2875192	-0.5772933	-0.010883388	-0.025046582	-0.12010992	0.00012911799
0.16240256	2.0891072	-0.14653746	0.1125923	0.072461392	0.38104119	0.00012911799
5.1077033	-4.8432021	0.44543492	-0.016576612	0.29539913	0.16448045	0.00012911799
2.3008776	-0.4925942	0.23422039	0.28902734	0.031881912	-0.077883047	0.00012911799
10.097194	-6.0289713	0.4360248	0.11987782	0.065892983	0.058135378	0.00012911799
5.7970108	-6.544674	0.19555599	0.35460287	0.1352024	-0.065409283	0.00012911799
-7.6825609	-2.9023712	-1.227218	0.050487985	-0.061035091	-0.056825276	0.00012911799
2.0460991	1.0537627	-0.19638037	-0.32002092	0.69872566	-0.15404618	0.00012911799
-3.3916274	2.3071753	-0.86062797	-0.44095541	-0.15434793	0.11365014	0.00012911799
-7.1407105	-0.44351891	-0.92320287	0.17484302	-0.15324082	-0.046210675	0.00012911799
18.207673	-4.4840487	7.4647974	-0.074981273	0.10744071	-0.090015748	0.00012911799
